site,waterbody_name,waterbody_name_long,time,temp_celcius,ph_units,spcond_ms_cm,sal_ppt,ldo_sat,LDO (mg/l),Dep100 (meters),turb,Lat,Long,Unknown
MAXEY,LAMAR,Lamar Lake,,27.74,8.94,0.1247,0.05,63,4.83,0.51,0.7,33.77755,-95.54297,109
MAXEY,LAMAR,Lamar Lake,,27.77,8.03,0.1263,0.05,93.8,7.17,0.45,0,33.77594,-95.54561,113
MAXEY,LAMAR,Lamar Lake,,24.65,7.45,0.1296,0.05,26.4,2.13,2.98,0,33.7759,-95.54561,115
MAXEY,LAMAR,Lamar Lake,,28.86,8.56,0.1246,0.05,143.9,10.8,0.5,0,33.77591,-95.5456,116
MAXEY,LAMAR,Lamar Lake,,27.57,8.09,0.1256,0.05,98.8,7.58,0.46,0.2,33.77531,-95.54844,115
MAXEY,LAMAR,Lamar Lake,,28.58,9.37,0.1245,0.05,102.2,7.71,0.45,0,33.77916,-95.54812,120
MAXEY,LEEMOORE,Leemoore Lake,,27.86,7.75,0.0899,0.03,92.5,7.07,0.16,3.1,33.78991,-95.54471,129
MAXEY,LEEMOORE,Leemoore Lake,,27.98,7.83,0.0897,0.03,93.9,7.16,0.27,0.1,33.78993,-95.54464,132
MAXEY,LEEMOORE,Leemoore Lake,,25.56,7.04,0.1054,0.04,14.2,1.13,0.1,6.6,33.79092,-95.54464,135
MAXEY,NEFF,Neff Lake,,27.94,7.49,0.11,0.04,95.2,7.26,0.47,1.5,33.78656,-95.56518,141
MAXEY,NEFF,Neff Lake,,27.36,7.29,0.11,0.04,81.9,6.31,1.32,2.5,33.78659,-95.56519,137
MAXEY,NEFF,Neff Lake,,27.89,7.45,0.1102,0.04,97.3,7.43,0.47,5.6,33.7867,-95.56588,137
MAXEY,NEFF,Neff Lake,,27.22,7.18,0.1131,0.05,58.5,4.52,1.47,5.9,33.78669,-95.56581,142
MAXEY,NEFF,Neff Lake,,28.66,8.16,0.1025,0.04,121.6,9.16,0.35,0,33.78728,-95.56563,132
MAXEY,NEFF,Neff Lake,,30.08,8.44,0.0927,0.03,116.9,8.59,0.48,6.2,33.78703,-95.56665,134
MAXEY,ZEROPOND,Zero Pond,,28.53,8.02,0.0516,0.01,119.2,9,0.38,2.1,33.78703,-95.56667,122
MAXEY,ZEROPOND,Zero Pond,,29.82,7.9,0.052,0.01,115.9,8.55,0.3,4.8,33.80259,-95.53,131
MAXEY,CREEKS,Creeks,,21.29,7.26,0.1957,0.09,98.1,8.47,0.15,0,33.80238,-95.55305,116
MAXEY,CREEKS,Creeks,,25.67,7.63,0.0672,0.02,67.3,5.35,0.16,0,33.798,-95.56792,130
MAXEY,CREEKS,Creeks,,22.61,7.27,0.0732,0.02,75.5,6.36,0.14,5,33.79803,-95.56792,114
